State,Department,Website,District,Block,portal_value_id
Delhi,Delhi Urban Shelter Improvement Board,RTI_Online_Delhi,NA,NA,194
Delhi,Delhi Wakf Board,RTI_Online_Delhi,NA,NA,125
Delhi,Department for Welfare of SC/ST/OBC/Minorities,RTI_Online_Delhi,NA,NA,126
Delhi,"Department of Food, Supplies &amp; Consumer Affairs",RTI_Online_Delhi,,,66
Delhi,Deputy Apprenticeship Advisor,RTI_Online_Delhi,NA,NA,127
Delhi,Development Department,RTI_Online_Delhi,NA,NA,25
Delhi,Directorate of Agricultural Marketing,RTI_Online_Delhi,NA,NA,27
Delhi,Directorate of Audit,RTI_Online_Delhi,NA,NA,11
Delhi,Directorate of Economics &amp; Statistics,RTI_Online_Delhi,,,29
Delhi,Directorate of Employment,RTI_Online_Delhi,NA,NA,61
Delhi,Directorate of Family Welfare,RTI_Online_Delhi,NA,NA,30
Delhi,Directorate of Health Services (DHS),RTI_Online_Delhi,NA,NA,32
Delhi,Directorate of ISMH,RTI_Online_Delhi,NA,NA,75
Delhi,Directorate of Prosecution,RTI_Online_Delhi,NA,NA,217
Delhi,Directorate of Small Savings,RTI_Online_Delhi,NA,NA,58
Delhi,Directorate of Training and Technical Education,RTI_Online_Delhi,NA,NA,152
Delhi,"Directorate of Training, UTCS",RTI_Online_Delhi,NA,NA,28
Delhi,Directorate of Vigilance,RTI_Online_Delhi,NA,NA,129
Delhi,Dispensaries - Central District,RTI_Online_Delhi,Central,NA,50
Delhi,Dispensaries - East District,RTI_Online_Delhi,East,NA,51
Delhi,Dispensaries - North District,RTI_Online_Delhi,North,NA,52
Delhi,Dispensaries - North East District,RTI_Online_Delhi,North East,NA,53
Delhi,Dispensaries - North West District,RTI_Online_Delhi,North West,NA,54
Delhi,Dispensaries - South District,RTI_Online_Delhi,South District,NA,55
Delhi,Dispensaries - South-West District,RTI_Online_Delhi,South-West,NA,56
Delhi,Dispensaries - West District,RTI_Online_Delhi,West,NA,57
Delhi,Dr Baba Saheb Ambedkar Hospital,RTI_Online_Delhi,NA,NA,130
Delhi,Dr. B.R.Ambedkar University,RTI_Online_Delhi,NA,NA,131
Delhi,Dr. B.R.Sur Homeopathy Medical College &amp; Hospital,RTI_Online_Delhi,,,133
Delhi,Dr. Baba Saheb Ambedkar Medical College,RTI_Online_Delhi,,,254
Delhi,Dr. Hedgewar Arogya Sansthan Hospital,RTI_Online_Delhi,NA,NA,37
Delhi,Dr. N C Joshi Memorail Hospital,RTI_Online_Delhi,NA,NA,38
Delhi,Drug Control,RTI_Online_Delhi,NA,NA,26
Delhi,East Delhi Municipal Corporation,RTI_Online_Delhi,East,NA,186
Delhi,Education Department,RTI_Online_Delhi,NA,NA,60
Delhi,Environment Department,RTI_Online_Delhi,NA,NA,62
Delhi,Excise Department,RTI_Online_Delhi,NA,NA,63
Delhi,Finance Department,RTI_Online_Delhi,NA,NA,64
Delhi,Food Safety Department,RTI_Online_Delhi,NA,NA,134
Delhi,Forensic Science Laboratory,RTI_Online_Delhi,NA,NA,67
Delhi,G B Pant Institute of Technology,RTI_Online_Delhi,NA,NA,135
Delhi,G. B. Pant Government Engineering College,RTI_Online_Delhi,NA,NA,208
Delhi,G.B.Pant Hospital,RTI_Online_Delhi,NA,NA,68
Delhi,General Administration Department,RTI_Online_Delhi,NA,NA,2
Delhi,Guru Gobind Singh Indraprastha University,RTI_Online_Delhi,NA,NA,136
Delhi,Guru Govind Singh Govt. Hospital,RTI_Online_Delhi,NA,NA,39
Delhi,Guru Nanak Dev Institute of Technology,RTI_Online_Delhi,NA,NA,137
Delhi,Guru Nanak Eye Hospital,RTI_Online_Delhi,NA,NA,69
Delhi,Guru Teg Bahadur (GTB) Hospital,RTI_Online_Delhi,NA,NA,71
Delhi,Gurudwara Election,RTI_Online_Delhi,NA,NA,70
Delhi,Health &amp; Family Welfare Department,RTI_Online_Delhi,,,72
Delhi,Higher Education Department,RTI_Online_Delhi,NA,NA,73
Delhi,Hindi Academy,RTI_Online_Delhi,NA,NA,138
Delhi,Home Department,RTI_Online_Delhi,NA,NA,3
Delhi,Home Guard &amp; Civil Defence,RTI_Online_Delhi,,,74
Delhi,Indira Gandhi Delhi Technical University for Women (IGDTUW),RTI_Online_Delhi,NA,NA,139
Delhi,Indira Gandhi Hospital,RTI_Online_Delhi,NA,NA,223
Delhi,Indira Gandhi Institute of Physical Education &amp; Sports Science,RTI_Online_Delhi,,,202
Delhi,Indraprastha Power Generation Co. Ltd. (GENCO),RTI_Online_Delhi,NA,NA,140
Delhi,Industries Department,RTI_Online_Delhi,NA,NA,76
Delhi,Information &amp; Publicity Department (DIP),RTI_Online_Delhi,,,77
Delhi,Information Technology Department,RTI_Online_Delhi,NA,NA,1
Delhi,Institute of Human Behaviour and Allied Sciences (IHBAS),RTI_Online_Delhi,NA,NA,141
Delhi,Institute of Liver and Biliary Sciences,RTI_Online_Delhi,NA,NA,215
Delhi,Irrigation &amp; Flood Control Department,RTI_Online_Delhi,,,78
Delhi,Jag Pravesh Chandra Hospital,RTI_Online_Delhi,NA,NA,48
Delhi,Janakpuri Super Speciality Hospital,RTI_Online_Delhi,NA,NA,213
Delhi,Kasturba Institute of Technology For Woman,RTI_Online_Delhi,NA,NA,142
Delhi,Keshav Mahavidyalaya,RTI_Online_Delhi,NA,NA,203
Delhi,Labour Department,RTI_Online_Delhi,NA,NA,79
Delhi,Lal Bahadur Shastri Hospital,RTI_Online_Delhi,NA,NA,40
Delhi,Land &amp; Building Department,RTI_Online_Delhi,,,80
Delhi,Law Department,RTI_Online_Delhi,NA,NA,41
Delhi,Lok Nayak Hospital,RTI_Online_Delhi,NA,NA,143
Delhi,Lt. Governors Secretariat,RTI_Online_Delhi,NA,NA,144
Delhi,Maharaja Agrasen College,RTI_Online_Delhi,NA,NA,204
Delhi,Maharishi Balmiki Hospital,RTI_Online_Delhi,NA,NA,42
Delhi,Maharshi Valimiki College of Education,RTI_Online_Delhi,NA,NA,205
Delhi,Maulana Azad Institute of Dental Sciences,RTI_Online_Delhi,NA,NA,145
Delhi,Maulana Azad Medical College (MAMC),RTI_Online_Delhi,NA,NA,146
Delhi,Meera Bai Institute of Technology,RTI_Online_Delhi,NA,NA,147
Delhi,Municipal Corporation of Delhi,RTI_Online_Delhi,NA,NA,241
Delhi,National Cadet Corps,RTI_Online_Delhi,NA,NA,148
Delhi,National Law University,RTI_Online_Delhi,NA,NA,196
Delhi,Nehru Homoeopathy Medical College &amp; Hospital (NHMC&amp;H),RTI_Online_Delhi,,,149
Delhi,Netaji Subhas Institute of Technology (NSIT),RTI_Online_Delhi,NA,NA,150
Delhi,North Delhi Municipal Corporation,RTI_Online_Delhi,NA,NA,187
Delhi,"OFFICE OF MINISTER, PUBLIC WORKS DEPARTMENT, WATER, IRRIGATION AND FLOOD CONTROL, LEGISLATIVE AFFAIRS, GURUDWARA ELECTION",RTI_Online_Delhi,,,253
Delhi,"Office Of Electricity Ombudsman, GNCTD",RTI_Online_Delhi,NA,NA,238
Delhi,Office of Lokayukta,RTI_Online_Delhi,NA,NA,190
Delhi,"Office of the Minister Health &amp; Family Welfare, Transport, Information Technology",RTI_Online_Delhi,,,248
Delhi,"Office of the Minister Home, Power, Urban Development, Education, Higher Education, Training &amp; Technical Education",RTI_Online_Delhi,,,245
Delhi,"Office of the Minister Industries, Food &amp; Supplies, Environment, Forest &amp; Wild Life",RTI_Online_Delhi,,,246
Delhi,"Office of the Minister Law &amp; Justice, Labour, Employment, Development, Art Culture &amp; Language, and Tourism",RTI_Online_Delhi,,,244
Delhi,"Office of the Minister Social Welfare, Welfare of SC &amp; ST, Cooperative, Election",RTI_Online_Delhi,,,247
Delhi,Old Delhi District,RTI_Online_Delhi,NA,NA,252
Delhi,Planning Department,RTI_Online_Delhi,NA,NA,151
Delhi,Power Department,RTI_Online_Delhi,NA,NA,65
Delhi,Principal Accounts Office,RTI_Online_Delhi,NA,NA,153
Delhi,"Principal District &amp; Sessions Judge Central District, Tis Hazari Court, Delhi",RTI_Online_Delhi,,,225
Delhi,"Principal District &amp; Sessions Judge, Dwarka Court, South West District",RTI_Online_Delhi,,,233
Delhi,"Principal District &amp; Sessions Judge, Karkardooma Court, East District",RTI_Online_Delhi,,,226
Delhi,"Principal District &amp; Sessions Judge, Karkardooma Court, North East District",RTI_Online_Delhi,,,230
Delhi,"Principal District &amp; Sessions Judge, Karkardooma Court, Shahdara District",RTI_Online_Delhi,,,235
Delhi,"Principal District &amp; Sessions Judge, Patiala House Court, New Delhi District",RTI_Online_Delhi,,,229
Delhi,"Principal District &amp; Sessions Judge, Rohini Court, North District",RTI_Online_Delhi,,,232
Delhi,"Principal District &amp; Sessions Judge, Rohini Court, North West District",RTI_Online_Delhi,,,228
Delhi,"Principal District &amp; Sessions Judge, Rouse Avenue Court, Central District",RTI_Online_Delhi,,,234
Delhi,"Principal District &amp; Sessions Judge, Saket Court, South District",RTI_Online_Delhi,,,227
Delhi,"Principal District &amp; Sessions Judge, Saket Court, South East District",RTI_Online_Delhi,,,231
Delhi,"Principal District &amp; Sessions Judge, Tis Hazari Court, West District",RTI_Online_Delhi,,,236
Delhi,Prohibition Department,RTI_Online_Delhi,NA,NA,154
Delhi,Pt. Madan Mohan Malaviya Hospital,RTI_Online_Delhi,NA,NA,44
Delhi,Public Grievances Commission,RTI_Online_Delhi,NA,NA,155
Delhi,Public Works Department,RTI_Online_Delhi,NA,NA,82
Delhi,Public Works Department (PWD) - Engineer in Chief,RTI_Online_Delhi,NA,NA,156
Delhi,Punjabi Academy,RTI_Online_Delhi,NA,NA,157
Delhi,Pusa Institute of Technology,RTI_Online_Delhi,NA,NA,158
Delhi,Rajiv Gandhi Super Speciality Hospital,RTI_Online_Delhi,NA,NA,159
Delhi,Rajya Sainik Board,RTI_Online_Delhi,NA,NA,160
Delhi,Rao Tula Ram Memorial Hospital,RTI_Online_Delhi,NA,NA,47
Delhi,Registrar Co-operative Societies,RTI_Online_Delhi,NA,NA,21
Delhi,Revenue Department,RTI_Online_Delhi,NA,NA,59
Delhi,Sahitya Kala Parishad,RTI_Online_Delhi,NA,NA,210
Delhi,Sanjay Gandhi Memorial Hospital,RTI_Online_Delhi,NA,NA,162
Delhi,Sanskrit Academy,RTI_Online_Delhi,NA,NA,163
Delhi,Sardar Vallabh Bhai Patel Hospital,RTI_Online_Delhi,NA,NA,46
Delhi,Satyawadi Raja Harish Chandra Hospital (SRHC),RTI_Online_Delhi,NA,NA,49
Delhi,Services Department,RTI_Online_Delhi,NA,NA,164
Delhi,Shaheed Rajguru College of Applied Sciences for Women,RTI_Online_Delhi,NA,NA,206
Delhi,Shaheed Sukhdev College of Business Studies,RTI_Online_Delhi,NA,NA,207
Delhi,Sharda Ukil School of Art,RTI_Online_Delhi,NA,NA,165
Delhi,Shri Dada Dev Matri Svum Shishu Chikitsalaya,RTI_Online_Delhi,NA,NA,218
Delhi,Sindhi Academy,RTI_Online_Delhi,NA,NA,166
Delhi,Social Welfare Department,RTI_Online_Delhi,NA,NA,167
Delhi,South Delhi Municipal Corporation,RTI_Online_Delhi,NA,NA,188
Delhi,State Council of Educational Research and Training (SCERT),RTI_Online_Delhi,NA,NA,168
Delhi,Tourism Department,RTI_Online_Delhi,NA,NA,170
Delhi,Trade &amp; Taxes (Sales Tax) Department,RTI_Online_Delhi,,,171
Delhi,Transport Department,RTI_Online_Delhi,NA,NA,172
Delhi,Urban Development,RTI_Online_Delhi,NA,NA,173
Delhi,Urdu Academy,RTI_Online_Delhi,NA,NA,174
Delhi,Vigilance and Anti Corruption,RTI_Online_Delhi,NA,NA,175
Delhi,Weight &amp; Measures Department,RTI_Online_Delhi,,,176
Delhi,Women &amp; Child Development Department,RTI_Online_Delhi,,,177
Maharashtra,"Additional Director Industrial Safety and Health, Nagpur",RTI_Online_Maharashtra,,,246
Maharashtra,"Additional Director, Industrial Safety and Health, Pune Region Three",RTI_Online_Maharashtra,,,240
Maharashtra,"Administrative General and Official Trustee, Maharashtra state, Mumbai",RTI_Online_Maharashtra,,,272
Maharashtra,"Agriculture, Dairy Development, Animal Husbandry and Fisheries Department",RTI_Online_Maharashtra,,,9
Maharashtra,Ahilyanagar Municipal Corporation,RTI_Online_Maharashtra,,,119
Maharashtra,Akola Municipal Corporation,RTI_Online_Maharashtra,Akola,NA,136
Maharashtra,Amravati Municipal Corporation,RTI_Online_Maharashtra,Amravati,NA,78
Maharashtra,"Annasaheb Patil Aarthik Magas Vikas Mahamandal Maryadit , Mumbai",RTI_Online_Maharashtra,,,234
Maharashtra,"Central Laboratory Mahape, Maharashtra Pollution Control Board",RTI_Online_Maharashtra,,,354
Maharashtra,Chandrapur Municipal Corporation,RTI_Online_Maharashtra,Chandrapur,NA,107
Maharashtra,"Charity Commissioner, Maharashtra state, Mumbai",RTI_Online_Maharashtra,,,274
Maharashtra,"Chatrapati Shahu Maharaj Research, Training and Human Development Institure(SARTHI), Pune",RTI_Online_Maharashtra,,,233
Maharashtra,"Chief Electrical Inspector Office , Mumbai",RTI_Online_Maharashtra,,,270
Maharashtra,"Chief Minister's Office, Government Of Maharashtra",RTI_Online_Maharashtra,,,88
Maharashtra,Chief Secretary Office,RTI_Online_Maharashtra,NA,NA,232
Maharashtra,"Co-operation, Textiles and Marketing Department",RTI_Online_Maharashtra,,,36
Maharashtra,"Collector Office , Jalgaon",RTI_Online_Maharashtra,,,111
Maharashtra,"Collector Office, Ahilyanagar",RTI_Online_Maharashtra,,,116
Maharashtra,"Collector Office, Akola",RTI_Online_Maharashtra,,,206
Maharashtra,"Collector Office, Beed",RTI_Online_Maharashtra,,,164
Maharashtra,"Collector Office, Bhandara",RTI_Online_Maharashtra,,,191
