application_id,batch_id,state,office_name,dept_group,district,block,portal,portal_value_id,treatment,assigned_ra,template_version,language,channel,filing_outcome,not_filed_reason,filing_date,registration_number,fee_paid_inr,payment_mode,evidence_url,screen_recording_url,payment_reference,pio_name,filed_by,due_date,notes
DL-003,dm2026q3_01,Delhi,Commission for OBC,COMMISSION FOR OBC,NA,NA,RTI_Online_Delhi,93,plain,RA2,v3,en,portal,,,,,,,,,,,,,
DL-007,dm2026q3_01,Delhi,Delhi Pollution Control Committee,DELHI POLLUTION CONTROL COMMITTEE,NA,NA,RTI_Online_Delhi,113,legal_salience,RA2,v3,en,portal,,,,,,,,,,,,,
DL-008,dm2026q3_01,Delhi,Delhi SC/ST/OBC/Min. &amp; Handicapped Finance &amp; Development Corp. Ltd,DELHI SC/ST/OBC/MIN. AND AMP; HANDICAPPED FINANCE AND AMP; DEVELOPMENT CORP. LTD,,,RTI_Online_Delhi,115,plain,RA2,v3,en,portal,,,,,,,,,,,,,
DL-010,dm2026q3_01,Delhi,Directorate of ISMH,DIRECTORATE OF ISMH,NA,NA,RTI_Online_Delhi,75,plain,RA2,v3,en,portal,,,,,,,,,,,,,
DL-014,dm2026q3_01,Delhi,Higher Education Department,HIGHER EDUCATION,NA,NA,RTI_Online_Delhi,73,plain,RA2,v3,en,portal,,,,,,,,,,,,,
DL-021,dm2026q3_01,Delhi,"Principal District &amp; Sessions Judge, Saket Court, South East District",PRINCIPAL DISTRICT AND AMP; SESSIONS JUDGE,,,RTI_Online_Delhi,231,legal_salience,RA2,v3,en,portal,,,,,,,,,,,,,
MH-005,dm2026q3_01,Maharashtra,"Commissioner of Police, Navi Mumbai",COMMISSIONER OF POLICE,,,RTI_Online_Maharashtra,51,plain,RA2,v3,en,portal,,,,,,,,,,,,,
MH-010,dm2026q3_01,Maharashtra,"Divisional Commissioner Office, Nagpur",DIVISIONAL COMMISSIONER OFFICE,Nagpur,NA,RTI_Online_Maharashtra,58,plain,RA2,v3,en,portal,,,,,,,,,,,,,
MH-016,dm2026q3_01,Maharashtra,"Maharashtra Energy Development Agency , Pune",MAHARASHTRA ENERGY DEVELOPMENT AGENCY,,,RTI_Online_Maharashtra,269,plain,RA2,v3,en,portal,,,,,,,,,,,,,
MH-017,dm2026q3_01,Maharashtra,Pimpri Chinchwad Municipal Corporation,PIMPRI CHINCHWAD MUNICIPAL CORPORATION,Pimpri Chinchwad,NA,RTI_Online_Maharashtra,87,legal_salience,RA2,v3,en,portal,,,,,,,,,,,,,
MH-026,dm2026q3_01,Maharashtra,"Superintendent of Police, Palghar",SUPERINTENDENT OF POLICE,Palghar,NA,RTI_Online_Maharashtra,202,legal_salience,RA2,v3,en,portal,,,,,,,,,,,,,
MH-027,dm2026q3_01,Maharashtra,"Tehsil office, Nagpur",TEHSIL OFFICE,Nagpur,Nagpur,RTI_Online_Maharashtra,81,plain,RA2,v3,en,portal,,,,,,,,,,,,,
MH-028,dm2026q3_01,Maharashtra,"Tehsil office, Pune",TEHSIL OFFICE,Pune,Pune,RTI_Online_Maharashtra,82,plain,RA2,v3,en,portal,,,,,,,,,,,,,
MH-033,dm2026q3_01,Maharashtra,"Zilla Parishad, Wardha",ZILLA PARISHAD,Wardha,NA,RTI_Online_Maharashtra,162,plain,RA2,v3,en,portal,,,,,,,,,,,,,
