application_id,batch_id,state,office_name,dept_group,district,block,portal,portal_value_id,treatment,assigned_ra,template_version,language,channel,filing_outcome,not_filed_reason,filing_date,registration_number,fee_paid_inr,payment_mode,evidence_url,screen_recording_url,payment_reference,pio_name,filed_by,due_date,notes
DL-001,dm2026q3_01,Delhi,Aditi Mahavidyalaya,ADITI MAHAVIDYALAYA,NA,NA,RTI_Online_Delhi,199,plain,RA4,v3,en,portal,,,,,,,,,,,,,
DL-002,dm2026q3_01,Delhi,Chief Ministers Office,CHIEF MINISTERS OFFICE,NA,NA,RTI_Online_Delhi,12,plain,RA4,v3,en,portal,,,,,,,,,,,,,
DL-016,dm2026q3_01,Delhi,"Principal District &amp; Sessions Judge, Karkardooma Court, Shahdara District",PRINCIPAL DISTRICT AND AMP; SESSIONS JUDGE,,,RTI_Online_Delhi,235,plain,RA4,v3,en,portal,,,,,,,,,,,,,
DL-018,dm2026q3_01,Delhi,"Principal District &amp; Sessions Judge, Rohini Court, North West District",PRINCIPAL DISTRICT AND AMP; SESSIONS JUDGE,,,RTI_Online_Delhi,228,legal_salience,RA4,v3,en,portal,,,,,,,,,,,,,
DL-019,dm2026q3_01,Delhi,"Principal District &amp; Sessions Judge, Rouse Avenue Court, Central District",PRINCIPAL DISTRICT AND AMP; SESSIONS JUDGE,,,RTI_Online_Delhi,234,plain,RA4,v3,en,portal,,,,,,,,,,,,,
MH-001,dm2026q3_01,Maharashtra,Chandrapur Municipal Corporation,CHANDRAPUR MUNICIPAL CORPORATION,Chandrapur,NA,RTI_Online_Maharashtra,107,plain,RA4,v4_mh150,en,portal,,,,,,,,,,,,,
MH-002,dm2026q3_01,Maharashtra,"Collector Office, Parbhani",COLLECTOR OFFICE,,,RTI_Online_Maharashtra,151,legal_salience,RA4,v4_mh150,en,portal,,,,,,,,,,,,,
MH-003,dm2026q3_01,Maharashtra,"Collector Office, Pune",COLLECTOR OFFICE,,,RTI_Online_Maharashtra,48,plain,RA4,v4_mh150,en,portal,,,,,,,,,,,,,
MH-007,dm2026q3_01,Maharashtra,"Deputy Director, Industrial Safety and Health, Ahilyanagar",DEPUTY DIRECTOR,,,RTI_Online_Maharashtra,252,legal_salience,RA4,v4_mh150,en,portal,,,,,,,,,,,,,
MH-008,dm2026q3_01,Maharashtra,"Deputy Director, Industrial Safety and Health, Akola",DEPUTY DIRECTOR,,,RTI_Online_Maharashtra,263,plain,RA4,v4_mh150,en,portal,,,,,,,,,,,,,
MH-022,dm2026q3_01,Maharashtra,"State Information Commission, Greater Mumbai",STATE INFORMATION COMMISSION,Greater Mumbai,NA,RTI_Online_Maharashtra,93,plain,RA4,v4_mh150,en,portal,,,,,,,,,,,,,
MH-025,dm2026q3_01,Maharashtra,"Superintendent of Police, Dhule",SUPERINTENDENT OF POLICE,Dhule,NA,RTI_Online_Maharashtra,154,legal_salience,RA4,v4_mh150,en,portal,,,,,,,,,,,,,
MH-031,dm2026q3_01,Maharashtra,"Zilla Parishad, Ahilyanagar",ZILLA PARISHAD,,,RTI_Online_Maharashtra,118,plain,RA4,v4_mh150,en,portal,,,,,,,,,,,,,
