application_id,batch_id,state,office_name,dept_group,district,block,portal,portal_value_id,treatment,assigned_ra,template_version,language,channel,filing_outcome,not_filed_reason,filing_date,registration_number,fee_paid_inr,payment_mode,evidence_url,screen_recording_url,payment_reference,pio_name,filed_by,due_date,notes
MH-006,dm2026q3_01,Maharashtra,"Commissioner of Police,Sambhajinagar",COMMISSIONER OF POLICE,,,RTI_Online_Maharashtra,72,legal_salience,RA1,v3,en,portal,,,,,,,,,,,,,
MH-007,dm2026q3_01,Maharashtra,"Deputy Director, Industrial Safety and Health, Ahilyanagar",DEPUTY DIRECTOR,,,RTI_Online_Maharashtra,252,legal_salience,RA4,v3,en,portal,,,,,,,,,,,,,
MH-008,dm2026q3_01,Maharashtra,"Deputy Director, Industrial Safety and Health, Akola",DEPUTY DIRECTOR,,,RTI_Online_Maharashtra,263,plain,RA4,v3,en,portal,,,,,,,,,,,,,
MH-009,dm2026q3_01,Maharashtra,"District Supritendent of Land Record, Chandrapur",DISTRICT SUPRITENDENT OF LAND RECORD,,,RTI_Online_Maharashtra,331,plain,RA1,v3,en,portal,,,,,,,,,,,,,
MH-010,dm2026q3_01,Maharashtra,"Divisional Commissioner Office, Nagpur",DIVISIONAL COMMISSIONER OFFICE,Nagpur,NA,RTI_Online_Maharashtra,58,plain,RA2,v3,en,portal,,,,,,,,,,,,,
MH-011,dm2026q3_01,Maharashtra,"Food, Civil Supplies and Consumer Protection Department",FOOD,,,RTI_Online_Maharashtra,26,legal_salience,RA3,v3,en,portal,,,,,,,,,,,,,
MH-012,dm2026q3_01,Maharashtra,"Industrial Safety and Health, Marathwada region , chhatrpati sambhajinagar",INDUSTRIAL SAFETY AND HEALTH,,,RTI_Online_Maharashtra,244,plain,RA3,v3,en,portal,,,,,,,,,,,,,
MH-013,dm2026q3_01,Maharashtra,"Joint Director, Industrial Safety and Health, Palghar",JOINT DIRECTOR,,,RTI_Online_Maharashtra,248,plain,RA1,v3,en,portal,,,,,,,,,,,,,
MH-014,dm2026q3_01,Maharashtra,"Joint Director, Industrial Safety and Health, Pune Region Two",JOINT DIRECTOR,,,RTI_Online_Maharashtra,242,plain,RA3,v3,en,portal,,,,,,,,,,,,,
MH-015,dm2026q3_01,Maharashtra,"Joint Director of Town Planning, Digital Planning Cell, Pune",JOINT DIRECTOR OF TOWN PLANNING,,,RTI_Online_Maharashtra,276,plain,RA3,v3,en,portal,,,,,,,,,,,,,
MH-016,dm2026q3_01,Maharashtra,"Maharashtra Energy Development Agency , Pune",MAHARASHTRA ENERGY DEVELOPMENT AGENCY,,,RTI_Online_Maharashtra,269,plain,RA2,v3,en,portal,,,,,,,,,,,,,
MH-017,dm2026q3_01,Maharashtra,Pimpri Chinchwad Municipal Corporation,PIMPRI CHINCHWAD MUNICIPAL CORPORATION,Pimpri Chinchwad,NA,RTI_Online_Maharashtra,87,legal_salience,RA2,v3,en,portal,,,,,,,,,,,,,
MH-018,dm2026q3_01,Maharashtra,Planning Department,PLANNING,,,RTI_Online_Maharashtra,27,plain,RA1,v3,en,portal,,,,,,,,,,,,,
MH-019,dm2026q3_01,Maharashtra,Pune Municipal Corporation,PUNE MUNICIPAL CORPORATION,Pune,NA,RTI_Online_Maharashtra,77,plain,RA1,v3,en,portal,,,,,,,,,,,,,
